time(s) 50ms 40ms 30ms 20ms 2ms
519 8807.87 8702.34 17146.98 16468.28 29506.55
520 17170.34 28948.63 25265.5 30072.7 34092.34
521 33779.01 23878.35 19703.4 39685.89 32193.79
522 15022.9 14847.21 32031.3 20722.32 22874.32
523 27220.31 11235.68 17989.38 35380.5 27309.49
524 22525.82 20432.1 20767.06 11282.12 33534.03
525 14668.57 16439.47 25343.51 12468.17 28154.98
526 19442.71 20869.41 23348 27914.33 20773.33
527 22979.3 30184.04 20811.07 19809.36 27760.96
528 26022.96 13476.13 22293.85 23387.35 19988.62
529 18635.8 22333.75 17951.16 30621.03 36242.84
530 12396.65 20192.58 29168.04 19983.93 17207.61
531 16816.74 19270.64 14296.38 30724.13 30249.43
532 19829.22 18665.23 43592.82 25301.05 36989.91
533 22988.89 23113.09 16850.56 31557.22 26748.31
534 11444.75 30528.69 28004.19 25402.77 30453.23
535 24274.78 16702.21 11989.14 23974.78 21883.52
536 20108.3 19643.84 21198.51 29321 29894.88
537 23805.93 31521.31 20599.67 22173.55 45897.83
538 15679.39 23449.56 14445.04 13075.64 33350.31
539 23369.23 17080.26 29378.33 22087.13 34362.62
540 20269.74 20552.26 13381.57 28600.36 45979.32
541 13179.91 18644.45 23051.77 19007.49 12764.68
542 30720.86 40206.6 27915.2 25360.67 21018.16
543 16241.6 20067.66 15901.25 24074.31 33464.96
544 24649.09 28390.71 26157.06 30968.43 32119.12
545 17445.91 11836.03 18805.18 13436.67 28976.99
546 28541.49 19380.17 9359.65 34397.77 28082.76
547 23251.16 12543.4 25542.73 24110.13 24062.12
548 23031.68 11245.6 20408.14 21460.21 24887.25
549 27568.43 19996.92 20972.22 19688.54 31413.69
550 16265.09 23238.47 15882.39 34937.77 25103.44
551 24092.66 13224.16 13026.76 15435.11 27160.17
552 24363.12 37477.53 20975.1 29217.06 30476.93
553 16980.62 21512.33 28930.3 25578.73 14959.99
554 12126.94 16360.54 19121.9 23704.81 27375.11
555 24185.35 24878.88 30551.23 44720.85 15239.64
556 17358.99 9178.39 13856.89 35534.22 16431.04
557 11258.42 25974.17 13472.24 19535.77 25835.92
558 19664.11 28411.12 25096.13 31750.67 40729.63
559 21526.54 16643.75 28628.93 24172.88 46454.7
560 14100.23 27919.02 19407.1 23551.6 15173.85
561 24571.55 30058.79 11246.47 11241.64 24281.27
562 15867.93 14596.12 12735.74 12311.63 29526.27
563 13208.85 13986.32 10892.46 16933.51 10921.38
564 14232.01 25003.08 17501.79 22624.08 32766.58
565 21842.73 26269.55 8790.58 23237.93 13204.22
566 17596.99 17553.57 23403.93 30923.09 43679.76
567 25264.73 13498.83 27730.52 23791.81 25659.24
568 19982.65 22337.84 17708.43 31650.58 30510
569 11921.49 21209.39 44612.45 11306.59 24385.54
570 21199.3 32619.2 21125.42 23575.81 31579.03
571 17992.79 22567.94 29285.88 38121.47 35261.91
572 28086.26 22243.4 28139.33 19829.15 19368.92
573 31260.7 17739.41 21471.07 25117.06 24776.28
574 21001.49 32788.46 22609.13 14015.3 55175.1
575 20333.41 17959.68 24276.17 11797.71 31923.59
576 24740.29 21474.74 23548.2 18904.58 20004.4
577 19996.22 22586.81 8805.13 29068.52 31310.38
578 12882.57 23361.88 18561.42 25547.18 46068.8
579 20354.28 23339.26 22572.06 22727.87 32891.41
580 19138.07 16590.23 18804.86 20865.22 33568.93
581 16037.09 21768.74 24438.81 40489.16 34467.97
582 11569.45 18771.38 19488.77 22827.71 29490.79
583 30687.94 16781.47 18918.61 12133.44 25181.24
584 12979.58 14762.12 25367.3 28729.48 23690.1
585 25395.93 23491.6 14999.88 16692.21 31883.82
586 12891.38 24692.8 26149.15 22574.95 26316.84
587 24494.08 13547.34 18964.79 24354.94 25774.42
588 13035.12 15156.19 19656.79 24747.46 33677.16
589 10081.62 24091.14 29009.9 33833.24 27742.09
590 20583.09 19467.77 13420.41 20011.6 26352.98
591 11826.61 25158.54 36133.49 50268.42 21890.27
592 22537.69 17375.07 20157.01 22496.47 44980.82
593 23154.98 33775.04 32897.53 22434.56 21025.68
594 16806.89 13277.26 18576.86 28509.01 21793.03
595 6563.43 19943.98 21528.66 25198.78 23473.08
596 28209.75 24523.97 18608.75 37101.19 22419.28
597 15356.9 17840.9 15586.85 38712.27 25287.48
598 24482.11 29467.61 30161.25 23335.77 47275.06
599 28490.01 11965.35 31852.79 29044.72 16322.09
600 23010.23 13414.6 17608.25 18559.24 15601.63
